question,option1,option2,option3,option4,correct_answer,mark_weightage,level,subtopic_id
A man buys a pen for Rs. 20 and sells it for Rs. 25. What is his profit,Rs. 5,Rs. 10,Rs. 2,Rs. 3,1,1,1,1
If the Cost Price CP is Rs. 100 and the Selling Price SP is Rs. 120 the profit is,Rs. 10,Rs. 20,Rs. 30,Rs. 120,2,1,1,1
A toy bought for Rs. 50 is sold for Rs. 45. What is the loss,Rs. 10,Rs. 2,Rs. 5,Rs. 15,3,1,1,1
If CP Rs. 500 and SP Rs. 400 then the loss is,Rs. 50,Rs. 100,Rs. 200,Rs. 900,2,1,1,1
A shopkeeper buys a book for Rs. 80 and sells it for Rs. 100. Find his profit percentage.,20%,25%,10%,15%,2,2,1,1
An article is bought for Rs. 200 and sold for Rs. 180. Find the loss percentage.,5%,15%,10%,20%,3,2,1,1
Sita bought a bag for Rs. 250 and sold it for Rs. 300. What is her gain percent,20%,25%,15%,30%,1,2,1,1
The cost price of an item is Rs. 1500. If it is sold at a loss of 10% what is the selling price,Rs. 1350,Rs. 1400,Rs. 1650,Rs. 1450,1,2,1,1
Profit is calculated on the,Selling Price,Marked Price,Cost Price,Discount,3,1,1,1
Loss is the difference between,CP and SP when SP CP,CP and SP when CP SP,MP and SP,None of these,2,1,1,1
A fruit seller buys apples at Rs. 10 each and sells them at Rs. 12 each. His profit per apple is,Rs. 1,Rs. 2,Rs. 3,Rs. 4,2,1,1,1
If a bicycle is bought for Rs. 1000 and sold for Rs. 800 the loss percent is,10%,25%,15%,20%,4,2,1,1
A man makes a profit of Rs. 50 on an item he sold for Rs. 250. What was the cost price,Rs. 150,Rs. 300,Rs. 200,Rs. 100,3,1,1,1
A chair is sold for Rs. 500 with a profit of Rs. 100. The cost price is,Rs. 600,Rs. 400,Rs. 500,Rs. 300,2,1,1,1
Formula for Profit Percent is,Profit SP 100,Profit CP 100,Loss CP 100,SP CP 100,2,1,1,1
A product costs Rs. 400 and is sold at a 20% profit. What is the selling price,Rs. 420,Rs. 450,Rs. 480,Rs. 500,3,2,1,1
If an item is sold for Rs. 110 the profit is 10%. What is the cost price,Rs. 121,Rs. 99,Rs. 100,Rs. 105,3,2,1,1
What is the single term for the price at which an article is purchased,Selling Price,Marked Price,Cost Price,List Price,3,1,1,1
What is the loss if CP is Rs. 75 and SP is Rs. 60,Rs. 5,Rs. 10,Rs. 15,Rs. 20,3,1,1,1
A radio is bought for Rs. 900 and sold for Rs. 1080. Find the gain percent.,10%,20%,25%,15%,2,2,1,1
If Selling Price is less than Cost Price there is a,Profit,Loss,No profit no loss,Discount,2,1,1,1
A vendor buys lemons at Rs. 25 per dozen and sells them at 5 for Rs. 12. Find his gain or loss percent.,10% gain,5% loss,4% gain,4% loss,3,2,1,1
The cost of an article is Rs. 50. It is sold at a profit of 12%. Find the selling price.,Rs. 55,Rs. 56,Rs. 58,Rs. 60,2,2,1,1
A man sold a fan for Rs. 450 incurring a loss of Rs. 50. The cost price was,Rs. 400,Rs. 500,Rs. 550,Rs. 475,2,1,1,1
A shopkeeper sells rice at Rs. 10 per kg and makes a profit of 25%. The cost price of the rice per kg is,Rs. 6,Rs. 7,Rs. 8,Rs. 9,3,2,1,1
By selling an article for Rs. 100 a man gains Rs. 15. Then his gain % is,15%,12.50%,17.64%,18%,3,2,1,1
If CP Rs. 950 and gain 6% find the SP.,Rs. 1007,Rs. 1000,Rs. 997,Rs. 1017,1,2,1,1
If SP Rs. 880 and loss 12% find the CP.,Rs. 1000,Rs. 900,Rs. 950,Rs. 1100,1,2,1,1
Overhead charges are added to the,Selling Price,Marked Price,Cost Price,Discount,3,1,1,1
A man buys eggs at 2 for Re. 1 and sells at 5 for Rs. 3. His gain or loss percent is,10% gain,20% loss,20% gain,10% loss,3,2,1,1
The price at which an article is sold is called,Cost Price,Selling Price,Market Price,Discount Price,2,1,1,1
If an article costs Rs. 80 and sells for Rs. 100 the profit margin on cost is,20%,25%,30%,15%,2,2,1,1
A table is bought for Rs. 750 and sold at a loss of 6%. How much did it sell for,Rs. 705,Rs. 715,Rs. 725,Rs. 695,1,2,1,1
